gender_labels,sexuality_labels,dk_column,dk_entry
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,3.0
"['13_Gender: Trans Person', '05_Gender: Nicht Binär', '07_Gender: Agender']","['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01_Allgemein: Anzahl der Nennungen,4.0
"['01_Gender: Cis Frau', '02_Gender: Cis Mann', '05_Gender: Nicht Binär', '06_Gender: Inter']","['01_Sexualität: Schwul', '02_Sexualität: Lesbisch', '03_Sexualität: Bisexuell', '05_Sexualität: Asexuell']",DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell']",DK01_Allgemein: Anzahl der Nennungen,0.0
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,8.0
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,5.0
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,2.0
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01_Allgemein: Anzahl der Nennungen,2.0
['01_Gender: Cis Frau'],['09_Sexualität: Heterosexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,3.0
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']",['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,1.0
"['04_Gender: Trans Mann', '13_Gender: Trans Person', '05_Gender: Nicht Binär']","['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell', '06_Sexualität: Demisexuell']",DK01_Allgemein: Anzahl der Nennungen,2.0
"['05_Gender: Nicht Binär', '07_Gender: Agender']",['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,5.0
['03_Gender: Trans Frau'],['02_Sexualität: Lesbisch'],DK01_Allgemein: Anzahl der Nennungen,0.0
"['03_Gender: Trans Frau', '10_Gender: Andere']","['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,2.0
"['05_Gender: Nicht Binär', '12_Gender: Gender queer']","['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,4.0
['05_Gender: Nicht Binär'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,0.0
['03_Gender: Trans Frau'],"['02_Sexualität: Lesbisch', '03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,0.0
['05_Gender: Nicht Binär'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell']",DK01_Allgemein: Anzahl der Nennungen,1.0
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,2.0
['12_Gender: Gender queer'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,10.0
['05_Gender: Nicht Binär'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell']",DK01_Allgemein: Anzahl der Nennungen,0.0
['07_Gender: Agender'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,1.0
['04_Gender: Trans Mann'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,3.0
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,1.0
['04_Gender: Trans Mann'],['06_Sexualität: Demisexuell'],DK01_Allgemein: Anzahl der Nennungen,9.0
['04_Gender: Trans Mann'],['10_Sexualität: Keine Angabe'],DK01_Allgemein: Anzahl der Nennungen,3.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '05_Sexualität: Asexuell']",DK01_Allgemein: Anzahl der Nennungen,3.0
['10_Gender: Andere'],['01_Sexualität: Schwul'],DK01_Allgemein: Anzahl der Nennungen,2.0
['05_Gender: Nicht Binär'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01_Allgemein: Anzahl der Nennungen,4.0
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01_Allgemein: Anzahl der Nennungen,1.0
"['02_Gender: Cis Mann', '07_Gender: Agender', '11_Gender: Gender fluid']",['05_Sexualität: Asexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['05_Gender: Nicht Binär'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,1.0
['05_Gender: Nicht Binär'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,3.0
['01_Gender: Cis Frau'],['08_Sexualität: Andere'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,0.0
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['02_Sexualität: Lesbisch', '03_Sexualität: Bisexuell']",DK01_Allgemein: Anzahl der Nennungen,1.0
['01_Gender: Cis Frau'],['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['05_Gender: Nicht Binär'],['07_Sexualität: Queer'],DK01_Allgemein: Anzahl der Nennungen,0.0
"['05_Gender: Nicht Binär', '07_Gender: Agender', '11_Gender: Gender fluid']",['04_Sexualität: Pansexuell'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01_Allgemein: Anzahl der Nennungen,4.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell']",DK01_Allgemein: Anzahl der Nennungen,7.0
['05_Gender: Nicht Binär'],"['06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01_Allgemein: Anzahl der Nennungen,3.0
['02_Gender: Cis Mann'],['09_Sexualität: Heterosexuell'],DK01_Allgemein: Anzahl der Nennungen,3.0
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell']",DK01_Allgemein: Anzahl der Nennungen,0.0
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01_Allgemein: Anzahl der Nennungen,0.0
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,"""Kampflesbe"""
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,"Nicht heterosexuelle/ nicht-queere Personen, meinen es anderen ansehen zu können, ob jemand queer ist (""der ist bestimmt schwul"")"
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01x01_Allgemein: Nennung 1,sexualisiert werden
['05_Gender: Nicht Binär'],['02_Sexualität: Lesbisch'],DK01x01_Allgemein: Nennung 1," -genereller ""Schock"" wenn ich sage dass ich Medizin studiere, weil ich nicht aussehe wie der typische Medizinstudierende"
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01x01_Allgemein: Nennung 1,Unnatürlichkeit
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01x01_Allgemein: Nennung 1,Es sei alles nur für Aufmerksamkeit
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,"""Du kriegst eh keinen Mann ab, deswegen nimmst du jetzt die Frauen"""
['02_Gender: Cis Mann'],"['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,"Ich bin Transvestit. Viele Leute denken mittlerweile leider man wäre damit Transsexuell oder Transgender, weil die öffentliche Diskussion sich nur um diese Bereiche dreht. Meiner Meinung nach wird operative Transsexualität so sehr gepusht, weil sich mit geschlechtsangeleichenden OPs so viel Geld verdienen lässt, aber das nur am Rande"
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,bi/pan: man könne sich nicht entscheiden
['01_Gender: Cis Frau'],['05_Sexualität: Asexuell'],DK01x01_Allgemein: Nennung 1,"Haha, bist du eine Topfpflanze oder was?"
['11_Gender: Gender fluid'],"['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell']",DK01x01_Allgemein: Nennung 1,"Das es angeblich eine bewusste Entscheidung wäre, und man sich ändern kann."
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell']",DK01x01_Allgemein: Nennung 1,"""Du hast einfach noch nicht den richtigen gefunden:"
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01x01_Allgemein: Nennung 1,Du redest schwul 
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,"Fußball: männer sind schwuchteln und schwach ""tunten"", frauen sind die ""kampflesben"""
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,"Wenn du auch auf Frauen stehst, kannst du aber doch gar keine Kinder haben und keine Familie gründen."
['02_Gender: Cis Mann'],['05_Sexualität: Asexuell'],DK01x01_Allgemein: Nennung 1,"Asexuelle gehören gar nicht zu LGBTQ+, da sie anscheinend nicht unterdrückt würden"
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,Dass man nur noch nicht die richtige Person getroffen hat
"['13_Gender: Trans Person', '05_Gender: Nicht Binär', '07_Gender: Agender']","['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01x01_Allgemein: Nennung 1,"Menschen wären queer, weil es ein Trend ist "
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01x01_Allgemein: Nennung 1,Bi = Fremdgeher
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,"Heutzutage kann ja jeder alles sein - auch nen Frosch, wenn mir danach ist"
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,Trans gleich komisch 
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01x01_Allgemein: Nennung 1,Schwul = Pädophil
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,"Queren Männern wurde die ""Männlichkeit"" abgesprochen "
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']",['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,"Starten, pöbeln, hinterherrufen: ihhh, eklig, was soll das"
"['04_Gender: Trans Mann', '13_Gender: Trans Person', '05_Gender: Nicht Binär']","['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell', '06_Sexualität: Demisexuell']",DK01x01_Allgemein: Nennung 1,Ich bin doch nur Asexuell weil ich schon körperlichen Missbrauch erlebt habe 
"['05_Gender: Nicht Binär', '07_Gender: Agender']",['04_Sexualität: Pansexuell'],DK01x01_Allgemein: Nennung 1,Das ist nur eine Phase/ da wächst du wieder raus
"['03_Gender: Trans Frau', '10_Gender: Andere']","['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,Queere Personen seien Pädophiel (?)
"['05_Gender: Nicht Binär', '12_Gender: Gender queer']","['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,"""Ist doch nur ne Phase/ du bist verwirrt"""
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,Bi-Personen können sich einfach nicht entscheiden.
['12_Gender: Gender queer'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,"""Alle verlieben sich, außer vielleicht so Autisten ohne Emphatie"""
['07_Gender: Agender'],['04_Sexualität: Pansexuell'],DK01x01_Allgemein: Nennung 1,Verbindungen von homosexuellen und generell queren Menschen mit pädophilie
['04_Gender: Trans Mann'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,Wir sind 'zu laut' und 'nervig'. (siehe CSD)
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,"Auf gleichgeschlechtliche zu stehen ist ""unnatürlich"""
['04_Gender: Trans Mann'],['06_Sexualität: Demisexuell'],DK01x01_Allgemein: Nennung 1,Lesben müssen sich wie Männer benehmen und über sexistische Witze lachen
['04_Gender: Trans Mann'],['10_Sexualität: Keine Angabe'],DK01x01_Allgemein: Nennung 1,Nicht männlich genug sein
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '05_Sexualität: Asexuell']",DK01x01_Allgemein: Nennung 1,gleichgeschlechtliche Paare sollten nicht heiraten dürfen oder Kinder bekommen
['10_Gender: Andere'],['01_Sexualität: Schwul'],DK01x01_Allgemein: Nennung 1,"Eine strenge Einteilung des Queerseins, dass Leute von außerhalb ein festes Bild von queeren Identitäten haben, und man sich nachweisen muss, wenn man diese nicht entspricht."
['05_Gender: Nicht Binär'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01x01_Allgemein: Nennung 1,Queere Menschen sind realitätsfern und ihre Geschlechtsvorstellung lächerlich und unwissenschaftlich
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01x01_Allgemein: Nennung 1,persönlich noch gar nicht
['05_Gender: Nicht Binär'],['07_Sexualität: Queer'],DK01x01_Allgemein: Nennung 1,Es sei nur ein Trend oder ich will mich besonders fühlen
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,Schwul sein wäre weiblich/ unmännlich 
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['02_Sexualität: Lesbisch', '03_Sexualität: Bisexuell']",DK01x01_Allgemein: Nennung 1,Body affirming surgery geht gegen die Natur des Menschen 
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x01_Allgemein: Nennung 1,Bissxuelle Menschen können sich doch einfach nicht entscheiden
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell']",DK01x01_Allgemein: Nennung 1,Hypersexualized bisexual female
['05_Gender: Nicht Binär'],"['06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01x01_Allgemein: Nennung 1,Ich bin in einer Phase.
['02_Gender: Cis Mann'],['09_Sexualität: Heterosexuell'],DK01x01_Allgemein: Nennung 1,"Toleranz bedeutet nicht automatisch Zustimmung. In der Diskussion mit Menschen, die der LGBTQ gegenüber negativ eingestellt sind, wird man auch als heterosexueller cis-Mann in die Schublade gesteckt, wenn für Toleranz argumentiert.  "
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x02_Allgemein: Nennung 2,"Ich bräuchte nur mal einen ""richtigen Mann"" {EM_FACE_VOMITING}"
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,Queer-sein und das offen zu zeigen solle vor Kindern ferngehalten werden
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01x02_Allgemein: Nennung 2,als ekelig/minderwertig/abstoßend beleidigt worden
['05_Gender: Nicht Binär'],['02_Sexualität: Lesbisch'],DK01x02_Allgemein: Nennung 2," -""aber du wirst jetzt nicht eine von diesen Genderleuten oder?"" ~meine Schwester"
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01x02_Allgemein: Nennung 2,"Es sei nur ""Verwirrung"""
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,"""Wenn du Bisexuell bist, bist du nicht queer"""
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,nicht-binär: man sei trotzdem das bei Geburt zugewiese geschlecht
['01_Gender: Cis Frau'],['05_Sexualität: Asexuell'],DK01x02_Allgemein: Nennung 2,"Das bedeutet doch nur, dass du prüde bist!"
['11_Gender: Gender fluid'],"['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell']",DK01x02_Allgemein: Nennung 2,Das ich so wie ich bin eigentlich garnicht existieren könnte.
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell']",DK01x02_Allgemein: Nennung 2,"""Jeder Mensch hat sexuelle Bedürfnisse"""
"['04_Gender: Trans Mann', '13_Gender: Trans Person', '05_Gender: Nicht Binär']",['07_Sexualität: Queer'],DK01x02_Allgemein: Nennung 2,"Vorurteil, dass ich es irgendwie sexuell anziehend finde meine Klamotten so zu tragen wie ich sie tue/ ""geschlechtsuntypische"" Klamotten zu tragen"
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x02_Allgemein: Nennung 2,generell geilen sich typen dran auf wenn 2 frauen miteinander rum machen (darf ich zugucken/mitmachen?)
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x02_Allgemein: Nennung 2,"Du siehst aber gar nicht so aus, als wärest du queer"
['02_Gender: Cis Mann'],['05_Sexualität: Asexuell'],DK01x02_Allgemein: Nennung 2,"Männer können nicht asexuell sein, da sie dauerhaft nur an Sex denken"
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,Dass Queersein unnormal ist
"['13_Gender: Trans Person', '05_Gender: Nicht Binär', '07_Gender: Agender']","['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01x02_Allgemein: Nennung 2,"Homosexuelle Menschen können erst wissen, ob sie diese Sexualität haben, nachdem sie Sex mit andersgeschlechtlichen Menschen hatten "
['05_Gender: Nicht Binär'],['04_Sexualität: Pansexuell'],DK01x02_Allgemein: Nennung 2,Sprechen komisch
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x02_Allgemein: Nennung 2,Homopaare können keine Kinder kriegen
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,Schwul gleich tussig
['02_Gender: Cis Mann'],['01_Sexualität: Schwul'],DK01x02_Allgemein: Nennung 2,"Schwule sind schlecht in Sport, lieben Rosa und sind weiblich"
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,Quere Menschen wurden als unnatürlich und unmoralisch bezeichnet 
"['04_Gender: Trans Mann', '13_Gender: Trans Person', '05_Gender: Nicht Binär']","['04_Sexualität: Pansexuell', '05_Sexualität: Asexuell', '06_Sexualität: Demisexuell']",DK01x02_Allgemein: Nennung 2,Pansexuellität exisitert doch gar nicht weil kein Mensch es schafft nicht unterbewusst das Geschlecht und aussehen einer Person zu bewerten und dieses dann Einfluss auf die Aktrativität der Person hat  
"['05_Gender: Nicht Binär', '07_Gender: Agender']",['04_Sexualität: Pansexuell'],DK01x02_Allgemein: Nennung 2,Das bildest du dir nur ein (-> Absprechen des eigenen Erleben und überstülpen des Erleben des Gegenübers)
"['03_Gender: Trans Frau', '10_Gender: Andere']","['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,Die Lesbe hat doch nur noch keinen guten Penis gehabt.
"['05_Gender: Nicht Binär', '12_Gender: Gender queer']","['03_Sexualität: Bisexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,"""Ihr wollt Kinder nur alle schwul machen"""
['05_Gender: Nicht Binär'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell']",DK01x02_Allgemein: Nennung 2,Was hat denn [Großstadt] mit dir gemacht?
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,"Bisexuelle Frauen werden mit anderen Frauen intim, um Männern zu gefallen."
['12_Gender: Gender queer'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,"""Alle fühlen sich entweder als Mann oder Frau"""
['04_Gender: Trans Mann'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,Das ist ja nur eine Phase.
['04_Gender: Trans Mann'],['06_Sexualität: Demisexuell'],DK01x02_Allgemein: Nennung 2,Schwule reden und bewegen sich affektiert
['04_Gender: Trans Mann'],['10_Sexualität: Keine Angabe'],DK01x02_Allgemein: Nennung 2,Sich zu schnell in eine Opferrolle zu flüchten
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '05_Sexualität: Asexuell']",DK01x02_Allgemein: Nennung 2,Alle schwulen Männer sind tuntig
['10_Gender: Andere'],['01_Sexualität: Schwul'],DK01x02_Allgemein: Nennung 2,"""Schwuchtel"" als Schimpfwort, immer häufiger unter den Jugendlichen"
['05_Gender: Nicht Binär'],"['05_Sexualität: Asexuell', '07_Sexualität: Queer', '08_Sexualität: Andere']",DK01x02_Allgemein: Nennung 2,Queere Menschen wollen sich nur besonders fühlen
['02_Gender: Cis Mann'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,Männer sollten keine Kleider/ Frauenkleidung tragen
['01_Gender: Cis Frau'],['03_Sexualität: Bisexuell'],DK01x02_Allgemein: Nennung 2,Nonbinarität ist abnormal
['01_Gender: Cis Frau'],"['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell']",DK01x02_Allgemein: Nennung 2,"Bisexual female needs to find the right man to ""become hetero"""
['05_Gender: Nicht Binär'],"['06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01x02_Allgemein: Nennung 2,Das ist alles Einfluss von großen Queeren Medien und kommt gar nicht aus mir.
['02_Gender: Cis Mann'],['09_Sexualität: Heterosexuell'],DK01x02_Allgemein: Nennung 2,"Es gibt oft die Einschätzung Homosexuelle Männer seien verweichlicht. Sie werden mit Wörtern charakterisiert, die beleidigend wirken. "
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '07_Sexualität: Queer']",DK01x03_Allgemein: Nennung 3,"Nicht-queere Personen unterschätzen manchmal, wie wenige es von uns gibt"
['01_Gender: Cis Frau'],['02_Sexualität: Lesbisch'],DK01x03_Allgemein: Nennung 3,ausgegrenzt/als anders wahrgenommen
['05_Gender: Nicht Binär'],['02_Sexualität: Lesbisch'],DK01x03_Allgemein: Nennung 3," -""solange ich dich jetzt nicht mit irgendwelchen ""Pronomen"" ansprechen muss ist es oke"""
"['13_Gender: Trans Person', '05_Gender: Nicht Binär']","['03_Sexualität: Bisexuell', '04_Sexualität: Pansexuell', '06_Sexualität: Demisexuell', '07_Sexualität: Queer']",DK01x03_Allgemein: Nennung 3,"nicht-binär: man könne sich ebenfalls nicht entscheiden (für eins von ""beiden"")"
['01_Gender: Cis Frau'],['05_Sexualität: Asexuell'],DK01x03_Allgemein: Nennung 3,"Ich kann dir zeigen, dass du vor Sex keine Angst haben musst."
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell']",DK01x03_Allgemein: Nennung 3,"""Asexualität gibt es nicht"""
['01_Gender: Cis Frau'],['07_Sexualität: Queer'],DK01x03_Allgemein: Nennung 3,ist nur eine phase
['02_Gender: Cis Mann'],['05_Sexualität: Asexuell'],DK01x03_Allgemein: Nennung 3,Bisexuelle Menschen gehen häufig fremd
['01_Gender: Cis Frau'],"['02_Sexualität: Lesbisch', '05_Sexualität: Asexuell', '07_Sexualität: Queer']",DK01x03_Allgemein: Nennung 3,Dass Queersein eine Sünde ist
