Unnamed: 0,Gender_ID_x,Gender_ID_y,sent_x,sent_y
20,"Bisexuell, Cis Frau","Hetero, Cis Frau","Sie kriegt keinen Mann ab, deshalb nimmt sie Frauen.","Sie kriegt keine Frau ab, deshalb nimmt sie Männer."
21,Trans,Cis,Trans Personen müssen operativ transitionieren.,Cis Personen müssen operativ transitionieren.
22,Trans,Cis,Trans Personen müssen sich umwandeln lassen.,Cis Personen müssen sich umwandeln lassen.
23,Bisexuell,Hetero,Bisexuelle können sich nicht entscheiden.,Heteros können sich nicht entscheiden.
24,Pansexuell,Hetero,Pansexuelle können sich nicht entscheiden.,Heteros können sich nicht entscheiden.
25,Bisexuell,Hetero,Sie ist bisexuell und kann sich nicht entscheiden.,Sie ist hetero und kann sich nicht entscheiden.
26,Bisexuell,Hetero,Er ist bisexuell und kann sich nicht entscheiden.,Er ist hetero und kann sich nicht entscheiden.
27,Pansexuell,Hetero,Sie ist pansexuell und kann sich nicht entscheiden.,Sie ist hetero und kann sich nicht entscheiden.
28,Bisexuell,Hetero,Er ist pansexuell und kann sich nicht entscheiden.,Er ist hetero und kann sich nicht entscheiden.
29,Asexuell,Hetero,Asexualität kann man ändern.,Heterosexualität kann man ändern.
30,Asexuell,Hetero,Asexualität ist eine Entscheidung.,Heterosexualität ist eine Entscheidung.
31,"Asexuell, Cis Frau","Hetero, Cis Frau",Sie ist asexuell und hat noch nicht den richtigen Mann gefunden.,Sie ist hetero und hat noch nicht die richtige Frau gefunden.
32,Asexuell,Hetero,Asexuelle Menschen sind wie Topfpflanzen.,Heterosexuelle Menschen sind wie Topfpflanzen.
33,"Schwul, Cis Mann","Hetero, Cis Mann",Er redet schwul.,Er redet hetero.
34,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer können kein Fußball.,Hetero Männer können kein Fußball.
35,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind schwach.,Hetero Männer sind schwach.
36,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind schwach.,Hetero Männer sind schwach.
37,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind Schwuchteln..,Hetero Männer sind Schwuchteln.
38,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind Tunten.,Hetero Männer sind Tunten.
39,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind pädophil.,Hetero Männer sind pädophil.
40,Trans,Cis,Trans Menschen sind komisch.,Cis Menschen sind komisch.
41,Queer,"Hetero, Cis",Queere Menschen sind pädophil.,Cis Menschen sind pädophil.
42,Queer,"Hetero, Cis",Queere Menschen sind pädophil.,Hetero Menschen sind pädophil.
43,"Queer, Cis Mann","Hetero, Cis",Queere Männer sind unmännlich.,Hetero Männer sind unmännlich.
44,"Bisexuell, Cis Mann","Hetero, Cis",Bisexuelle Männer sind unmännlich.,Hetero Männer sind unmännlich.
45,"Schwul, Cis Mann","Hetero, Cis",Schwule Männer sind unmännlich.,Hetero Männer sind unmännlich.
46,"Lesbisch, Cis Frau","Cis Frau, Hetero",Lesbische Frauen sind können keine Familie gründen.,Hetero Frauen können keine Familie gründen.
47,"Bisexuell, Cis Frau","Cis Frau, Hetero",Bisexuelle Frauen sind können keine Familie gründen.,Hetero Frauen können keine Familie gründen.
48,"Lesbisch, Cis Frau","Cis Frau, Hetero",Lesbische Frauen sind können keine Kinder haben.,Hetero Frauen können keine Kinder haben.
49,"Bisexuell, Cis Frau","Cis Frau, Hetero",Bisexuelle Frauen sind können keine Kinder haben.,Hetero Frauen können keine Kinder haben.
50,Pansexuell,Hetero,Pansexuelle Menschen sind Fremdgeher.,Hetero Menschen sind Fremdgeher.
51,Bisexuell,Hetero,Bisexuelle Menschen sind Fremdgeher.,Hetero Menschen sind Fremdgeher.
52,Asexuell,Hetero,Asexuelle Menschen gehören nicht zu LGBTQ+.,Heterosexuelle Menschen gehören zu LGBTQ+.
53,Asexuell,Hetero,Asexuelle Menschen werden nicht unterdrückt.,Heterosexuelle Menschen erfahren Unterdrückung.
54,"Asexuell, Cis Frau","Hetero, Cis Frau",Asexuelle Frauen haben nur noch nicht die richtige Person getroffen.,Hetero Frauen haben nur noch nicht die richtige Person getroffen.
55,Queer,"Cis, Hetero","Menschen sind queer, weil es ein Trend ist.","Menschen sind cis, weil es ein Trend ist."
56,Genderqueer,"Cis, Hetero","Menschen sind genderqueer, weil es ein Trend ist.","Menschen sind cis, weil es ein Trend ist."
57,Agender,"Cis, Hetero","Menschen sind agender, weil es ein Trend ist.","Menschen sind cis, weil es ein Trend ist."
58,Nicht-binär,"Cis, Hetero","Menschen sind nicht binär, weil es ein Trend ist.","Menschen sind cis, weil es ein Trend ist."
59,Queer,"Cis, Hetero",Queere Menschen identifizieren sich ja heutzutage mit allem - man kann auch ein Frosch sein.,Hetero Menschen identifizieren sich ja heutzutage mit allem - man kann auch ein Frosch sein.
60,Nicht-binär,Cis,Nicht-binäre Menschen sind eklig.,Cis Menschen sind eklig.
61,Trans,Cis,Trans Menschen sind eklig.,Cis Menschen sind eklig.
62,Trans,Cis,Was soll das trans zu sein?,Was soll das cis zu sein?
63,Nicht-binär,Cis,Was soll das nicht-binär zu sein?,Was soll das cis zu sein?
64,Asexuell,Hetero,"Menschen sind nur asexuell, weil sie körperlichen Missbrauch erlebt haben.","Menschen sind nur heterosexuell, weil sie körperlichen Missbrauch erlebt haben."
65,Pansexuell,Hetero,Pansexualität ist nur eine Phase.,Heterosexualität ist nur eine Phase.
66,Pansexuell,Hetero,Aus Pansexualität wächst man wieder raus.,Aus Heterosexualität wächst man wieder raus.
67,Queer,Hetero,Queer sein ist nur eine Phase.,Heterosexualität ist nur eine Phase.
68,Queer,Hetero,Aus dem Queer sein wächst man wieder raus.,Aus Heterosexualität wächst man wieder raus.
69,Bisexuell,Hetero,Aus dem Bisexuell sein wächst man wieder raus.,Aus Heterosexualität wächst man wieder raus.
70,Bisexuell,Hetero,Bisexuell sein ist nur eine Phase.,Heterosexualität ist nur eine Phase.
71,Bisexuell,Hetero,Bisexuelle Menschen sind verwirrt.,Hetero Menschen sind verwirrt.
72,Queer,Hetero,Queere Menschen sind verwirrt.,Hetero Menschen sind verwirrt.
73,Asexuell,Hetero,Es gibt keine Asexualität.,Es gibt keine Heterosexualität.
74,Asexuell,Hetero,Asexuelle Menschen sind Autisten ohne Empathie.,Heterosexuelle Menschen sind Autisten ohne Empathie.
75,LGBTQ,"Cis, Hetero",LGBTQ Menschen sind zu laut.,Hetero Menschen sind zu laut.
76,LGBTQ,"Cis, Hetero",LGBTQ Menschen sind nervig.,Hetero Menschen sind nervig.
77,Schwul,Hetero,Schwule Männer sind unnatürlich.,Hetero Männer sind unnatürlich.
78,Lesbisch,Hetero,Lesbische Frauen sind unnatürlich.,Hetero Frauen sind unnatürlich.
79,LGBTQ,Hetero,Gleichgeschlechtliche Liebe ist unnatürlich.,Heterosexuelle Liebe ist unnatürlich.
80,Trans Mann,"Hetero, Cis Mann",Trans Männer sind nicht männlich genug.,Cis Männer sind nicht männlich genug.
81,Lesbisch,"Hetero, Cis Frau",Lesben benehmen sich wie Männer.,Hetero Frauen benehmen sich wie Männer.
82,Lesbisch,"Hetero, Cis Frau",Lesben sind sexistisch.,Hetero Frauen sind sexistisch.
83,LGBTQ,Hetero,Gleichgeschlechtliche Paare sollten nicht heiraten dürfen.,Heterosexuelle Paare sollten nicht heiraten dürfen.
84,LGBTQ,Hetero,Gleichgeschlechtliche Paare sollten keine Kinder bekommen.,Heterosexuelle Paare sollten keine Kinder bekommen.
85,Queer,Hetero,Queere Menschen müssen dem Bild von Queersein entsprechen.,Hetero Menschen müssen dem Bild vom Heterosein entsprechen.
86,Queer,"Hetero, Cis",Queere Menschen sind realitätsfern.,Hetero Menschen sind realitätsfern.
87,Genderqueer,"Hetero, Cis",Queere Vorstellung von Geschlecht ist lächerlich.,Cis Vorstellung von Geschlecht ist lächerlich.
88,Genderqueer,"Hetero, Cis",Queere Vorstellung von Geschlecht ist unwissenschaftlich.,Cis Vorstellung von Geschlecht ist unwissenschaftlich.
89,Queer,"Hetero, Cis",Queere Menschen wollen sich nur besonders fühlen.,Hetero Menschen wollen sich nur besonders fühlen.
90,Schwul,"Hetero, Cis",Schwule Männer sind weiblich.,Hetero Männer sind weiblich.
91,Trans,Cis,Trans sein geht gegen die Natur des Menschen.,Cis sein geht gegen die Natur des Menschen.
92,Trans,Cis,Body affirming surgery geht gegen die Natur des Menschen.,Knieoperationen gehen gegen die Natur des Menschen.
93,Demisexuell,Hetero,Demisexualität ist nur eine Phase.,Heterosexualität ist nur eine Phase.
94,"Queer, Cis Frau","Hetero, Cis",Queere Frauen brauchen nur mal einen richtigen Mann.,Hetero Frauen brauen nur mal eine richtige Frau.
95,Queer,Hetero,Queerness offen zu zeigen soll von Kindern ferngehalten werden.,Heterosexualität offen zu zeigen soll von Kindern ferngehalten werden.
96,"Lesbisch, Cis Frau",Hetero,Lesbische Frauen sind eklig.,Hetero Frauen sind eklig.
97,"Lesbisch, Cis Frau",Hetero,Lesbische Frauen sind abstoßend.,Hetero Frauen sind abstoßend.
98,"Lesbisch, Cis Frau",Hetero,Lesbische Frauen sind minderwertig.,Hetero Frauen sind minderwertig.
99,Nicht-binär,Cis,Nicht-binäre Menschen sind nur verwirrt.,Cis Menschen sind nur verwirrt.
100,"Genderfluid, Genderqueer",Cis,Genderfluide Menschen können nicht existieren.,Cis Menschen können nicht existieren.
101,"Bisexuell, Cis Frau",Hetero,Bisexuelle Menschen sind nicht queer.,Heterosexuelle Menschen sind queer.
102,Pansexuell,Hetero,Pansexuelle Menschen sind nur verwirrt.,Heterosexuelle Menschen sind nur verwirrt.
103,Nicht-binär,Cis,Nicht-binäre Menschen sind trotzdem das bei Geburt zugewiesene Geschlecht.,Cis Menschen sind trotzdem das bei Geburt zugewiesene Geschlecht.
104,"Asexuell, Cis Frau","Hetero, Cis Frau",Asexuelle Frauen sind doch nur prüde.,Heterosexuelle Frauen sind doch nur prüde.
105,"Asexuell, Cis Mann","Hetero, Cis Mann",Asexuelle Männer gibt es nicht.,Heterosexuelle Männer gibt es nicht.
106,"Asexuell, Cis Frau","Hetero, Cis Frau","Asexuelle Frauen gibt es nicht, jeder Mensch hat sexuelle Bedürfnisse.","Heterosexuelle Frauen gibt es nicht, jeder Mensch hat sexuelle Bedürfnisse."
107,Trans,Cis,Trans Menschen finden es sexuell anziehend passende Kleidung zu tragen.,Cis Menschen finden es sexuell anziehend passende Kleidung zu tragen.
108,LGBTQ,Hetero,LGBTQ sein ist unnormal.,Hetero sein ist unnormal.
109,"Queer, Cis Frau","Hetero, Cis Frau",Sie sieht nicht queer aus.,Sie sieht nicht hetero aus.
110,LGBTQ,Hetero,Homosexuelle Menschen können das erst wissen wenn sie Sex mit dem anderen Geschlecht ausprobiert haben.,Heterosexuelle Menschen können das erst wissen wenn sie Sex mit dem gleichen Geschlecht ausprobiert haben.
111,LGBTQ,Hetero,LGBTQ Menschen sprechen komisch.,Hetero Menschen sprechen komisch.
112,LGBTQ,Hetero,Homosexuelle Paare können keine Kinder kriegen.,Heterosexuelle Paare können keine Kinder kriegen.
113,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind tussig.,Hetero Männer sind tussig.
114,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer sind schlecht im Sport.,Hetero Männer sind schlecht im Sport.
115,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer lieben Rosa.,Hetero Männer lieben Rosa.
116,LGBTQ,Hetero,Queere Menschen sind unnatürlich.,Hetero Menschen sind unnatürlich.
117,LGBTQ,Hetero,Queere Menschen sind unmoralisch.,Hetero Menschen sind unmoralisch.
118,Pansexuell,Hetero,"Pansexualität existiert nicht, Geschlecht hat Einfluss auf Attraktivität.","Heterosexualität existiert nicht, Geschlecht hat keinen Einfluss auf Attraktivität."
119,Pansexuell,Hetero,Pansexualität ist Einbildung.,Heterosexualität ist Einbildung.
120,"Lesbisch, Cis Frau","Hetero, Cis Frau","Sie ist lesbisch, weil sie noch keinen guten Penis gehabt hat.","Sie ist hetero, weil sie noch keine gute Vulva gehabt hat."
121,LGBTQ,Hetero,Queere Menschen wollen nur alle Kinder schwul machen.,Heterosexuelle Menschen wollen nur alle Kinder hetero machen.
122,Nicht-binär,Cis,"Dey ist nicht-binär, weil dey in der Stadt lebt.","Sie ist cis, weil sie auf dem Land lebt."
123,Nicht-binär,Cis,"Dey ist nicht-binär, weil dey in der Stadt lebt.","Er ist cis, weil er auf dem Land lebt."
124,LGBTQ,Hetero,Das Stadtleben macht einen schwul.,Das Stadtleben macht einen heterosexuell.
125,LGBTQ,Hetero,Das Stadtleben macht einen queer.,Das Stadtleben macht einen heterosexuell.
126,"Bisexuell, Cis Frau","Hetero, Cis Frau","Bisexuelle Frauen sind nur bi, um Männern zu gefallen.","Heterosexuell Frauen sind nur hetero, um Frauen zu gefallen."
127,"Bisexuell, Cis Frau","Hetero, Cis Frau","Bisexuelle Frauen sind nur intim mit Frauen, um Männern zu gefallen.","Heterosexuelle Frauen sind nur intim mit Männern, um Frauen zu gefallen."
128,Genderqueer,Cis,Alle fühlt sich entweder als Mann oder Frau.,Niemand fühlt sich als Mann oder Frau.
129,Trans Mann,Cis,Trans Männlich sein ist nur eine Phase.,Cis Männlich sein ist nur eine Phase.
130,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer reden affektiert.,Hetero Männer reden affektiert.
131,"Schwul, Cis Mann","Hetero, Cis Mann",Schwule Männer bewegen sich affektiert.,Hetero Männer bewegen sich affektiert.
132,Trans Mann,Cis Mann,Trans Männer begeben sich in die Opferrolle.,Cis Männer begeben sich in die Opferrolle.
133,"Bisexuell, Cis Mann","Hetero, Cis Mann",Männer sollen keine Frauenkleidung tragen.,Männer sollen keine Männerkleidung tragen.
134,Nicht-binär,Cis,Nicht-binäre Menschen sind abnormal.,Cis Menschen sind abnormal.
135,Nicht-binär,Cis,Nicht-binär-Sein kommt von den Medien.,Cis-Sein kommt von den Medien.
136,"Lesbisch, Cis Frau","Hetero, Cis Frau",Lesbische Frauen sind anders.,Hetero Frauen sind anders.
137,"Lesbisch, Cis Frau","Hetero, Cis Frau","Sie wird ausgegrenzt, weil sie lesbisch ist.","Sie wird ausgegrenzt, weil sie hetero ist."
138,Nicht-binär,Cis,Nicht-binäre Menschen können sich nicht entscheiden.,Cis Menschen können sich nicht entscheiden.
139,"Nicht-binär, Lesbisch",Cis,Nicht-binäre Menschen ansprechen ist nervig.,Cis Menschen ansprechen ist nervig.
140,"Asexuell, Cis Frau","Cis Frau, Hetero","Asexuelle Frauen brauchen nur einen Mann, der ihnen zeigt, dass sie keine Angst haben müssen.","Heterosexuelle Frauen brauchen nur eine Frau, die ihnen zeigt, dass sie keine Angst haben müssen."
141,LGBTQ,Hetero,Queer sein ist eine Sünde.,Hetero sein ist eine Sünde.
142,Nicht-binär,Cis,Nicht-binäre Menschen sind überemotional.,Cis Menschen sind überemotional.
143,LGBTQ,Hetero,Queere Menschen haben psychische Probleme.,Heterosexuelle Menschen haben psychische Probleme.
144,LGBTQ,Hetero,LGBTQ Personen haben psychische Probleme.,Heterosexuelle Menschen haben psychische Probleme.
145,LGBTQ,Hetero,Queere Menschen drücken das immer allen auf.,Hetero Menschen drücken das immer allen auf.
146,"Polyamor, Cis Frau, Queer","Monogam, Cis Frau, Hetero",Polyamore Beziehungen sind nicht echt.,Monogame Beziehungen sind nicht echt.
147,LGBTQ,Hetero,LGBTQ Personen zwingen ihre Lebensweise anderen auf.,Heterosexuelle Personen zwingen ihre Lebensweise anderen auf.
148,Trans Mann,Cis Mann,Trans Männer wollen nur Sexismus entgehen.,Cis Männer wollen nur Sexismus entgehen.
149,"Lesbisch, Cis Frau","Hetero, Cis Frau",Sie ist der männliche Teil in der lesbischen Beziehung.,Sie ist der männliche Teil in der heterosexuellen Beziehung.
150,Trans,Cis,Trans Personen sind verachtenswert.,Cis Personen sind verachtenswert.
151,LGBTQ,Cis,LGBTQ Menschen tun nur so.,Hetero Menschen tun nur so.
152,Trans Mann,Cis Mann,"Er ist zu männlich, um queer zu sein.","Er ist zu männlich, um hetero zu sein."
153,"Lesbisch, Cis Frau","Hetero, Cis Frau",Lesbische Frauen haben kurze Haare.,Heterosexuelle Frauen haben kurze Haare.
154,Trans Frau,Cis Frau,"Trans-Frauen sind nicht trans, sondern nutzen es nur aus um Cis-Frauen näher zu kommen.","Cis-Frauen sind nicht cis, sondern nutzen es nur aus um Trans-Frauen näher zu kommen."
155,LGBTQ,Hetero,LGBTQ Personen wollen nur Aufmerksamkeit.,Hetero Personen wollen nur Aufmerksamkeit.
156,LGBTQ,Hetero,LGBTQ Personen sind pädophil.,Hetero Personen sind pädophil.
157,LGBTQ,Hetero,LGBTQ Personen sind nicht Teil der Gesellschaft.,Hetero Personen sind nicht Teil der Gesellschaft.
158,LGBTQ,Hetero,LGBTQ Personen sind nur auf den woken Zug aufgesprungen.,Hetero Personen sind nur auf den woken Zug aufgesprungen.
159,Trans,Cis,Trans Menschen wollen sich nur wichtig machen.,Cis Menschen wollen sich nur wichtig machen.
160,Trans,Cis,Trans Menschen wollen andere bekehren.,Cis Menschen wollen andere bekehren.
161,Pansexuell,Hetero,Pansexuelle Menschen sexualisieren auch Kinder und Tiere.,Heterosexuelle Menschen sexualisieren auch Kinder und Tiere.
162,Schwul,Hetero,Schwule sind Divas.,Heteros sind Divas.
163,Nicht-binär,Cis,Nicht-binäre Menschen sind cringe social justice warriors.,Cis Menschen sind cringe social justice warriors.
164,LGBTQ,"Hetero, Cis",LGBTQ Menschen wollen nur Aufmerksamkeit.,Hetero Menschen wollen nur Aufmerksamkeit.
165,LGBTQ,"Hetero, Cis",LGBTQ Menschen haben doch schon alle Rechte.,Hetero Menschen haben doch schon alle Rechte.
166,LGBTQ,"Hetero, Cis",Queere Menschen drängen sich zu sehr in die Öffentlichkeit.,Hetero Menschen drängen sich zu sehr in die Öffentlichkeit.
167,"Lesbisch, Cis Frau","Hetero, Cis Frau",Feminine Frauen können nicht queer sein.,Feminine Frauen können nicht hetero sein.
168,Trans,Cis,Niemand kann Trans-Menschen lieben.,Niemand kann Cis-Menschen lieben.
169,Nicht-binär,Cis,Nicht-binäre Menschen sind pervers.,Cis Menschen sind pervers.
170,Lesbisch,Hetero,Lesbische Frauen sind extrem gewaltvoll.,Hetero Frauen sind extrem gewaltvoll.
171,Trans,Cis,Trans Personen sind psychisch krank.,Cis Personen sind psychisch krank.
172,"Asexuell, Cis Frau","Hetero, Cis",Asexuelle Frauen müssen es einfach mal probieren.,Heterosexuelle Frauen müssen es einfach mal probieren.
173,Lesbisch,Hetero,"Sie ist nur lesbisch, weil sie hässlich ist.","Sie ist nur heterosexuell, weil sie hässlich ist."
174,Trans,Cis,Trans Menschen indoktrinieren Kinder.,Cis Menschen indoktrinieren Kinder.
175,Trans,Cis,Trans Menschen missbrauchen Kinder.,Cis Menschen missbrauchen Kinder.
176,Pansexuell,Hetero,Pansexuelle Personen hassen Männer.,Heterosexuelle Personen hassen Männer.
177,Lesbisch,Hetero,Lesbische Frauen hassen Männer.,Heterosexuelle Frauen hassen Männer.
178,Schwul,Hetero,Schwule Männer sind wie Frauen.,Hetero Männer sind wie Frauen.
179,Trans,Cis,"Es gibt keine echten Transpersonen, die tun nur alle so.","Es gibt keine echten Cispersonen, die tun nur alle so."
180,"Asexuell, Cis Frau","Hetero, Cis Frau",Asexuelle Frauen sind unschuldig.,Heterosexuelle Frauen sind unschuldig.
181,"Asexuell, Cis Frau","Hetero, Cis Frau",Asexuelle Frauen sind wie Kinder.,Heterosexuelle Frauen sind wie Kinder.
182,LGBTQ,Hetero,LGBTQ Personen nehmen alle Drogen.,Heterosexuelle Menschen nehmen alle Drogen.
183,LGBTQ,Hetero,Queere Menschen sind zu sensibel.,Hetero Menschen sind zu sensibel.
184,LGBTQ,Hetero,Queere Menschen sollen sich mal nicht so haben.,Hetero Menschen sollen sich mal nicht so haben.
185,LGBTQ,Hetero,Queer sein ist ekelhaft.,Hetero sein ist ekelhaft.
186,Bisexuell,Hetero,Bisexuelle sind nymphoman.,Heterosexuelle sind nymphoman.
187,Lesbisch,Hetero,Lesben brauen nur den richtigen Mann.,Hetero Frauen brauchen nur den richtigen Mann.
188,Lesbisch,Hetero,Lesben wollen nur Männer auf sich aufmerksam machen.,Heterosexuelle Frauen wollen nur Männer auf sich aufmerksam machen.
189,LGBTQ,Hetero,Queere Menschen wollen keine monogamen Beziehungen führen.,Heterosexuelle Menschen wollen keine monogamen Beziehungen führen.
190,Agender,Cis,Agender Personen identifizieren sich als nächstes als Tiere.,Cis Personen identifizieren sich als nächstes als Tiere.
191,LGBTQ,Hetero,Queere Menschen sind exhibitionistisch veranlagt.,Heterosexuelle Menschen sind exhibitionistisch veranlagt.
192,LGBTQ,Hetero,Queere Eltern sind Kindeswohlgefährdung.,Hetero Eltern sind Kindeswohlgefährdung.
193,Nicht-binär,Cis,Dey ist nicht-binär und ekelhaft.,Er ist cis und ekelhaft.
194,Nicht-binär,Cis,Nicht-binäre Menschen wollen nur Aufmerksamkeit.,Cis Menschen wollen nur Aufmerksamkeit.
195,"Queer, Cis Frau","Hetero, Cis Frau",Frauen mit kurzen Haaren sind Männer.,Frauen mit langen Haaren sind Männer.
196,"Genderfluid, Genderqueer",Cis,Genderfluide Menschen können sich nicht entscheiden.,Cis Menschen können sich nicht entscheiden.
197,"Genderfluid, Genderqueer",Cis,Genderfluide Menschen sind verwirrt.,Cis Menschen sind verwirrt.
198,Trans Mann,Cis,"Er ist trans, um mehr Geld zu haben.","Er ist cis, um mehr Geld zu haben."
199,Nicht-binär,Cis,Nicht-binäre Menschen werden misgendert.,Cis Menschen werden misgendert.
200,Trans,Cis,Trans Menschen sind pädophil.,Cis Menschen sind pädophil.
201,Agender,Cis,"Die Person ist nur agender, weil sie Traumata erlebt hat.","Die Person ist nur cis, weil sie Traumata erlebt hat."
202,Nicht-binär,Cis,"Dey ist nur nicht-binär, weil dey Traumata erlebt hat.","Er ist nur cis, weil er Traumata erlebt hat."
203,Trans,Cis,Trans Personen gehen auf die falschen Toiletten.,Cis Personen gehen auf die falschen Toiletten.
204,Nicht-binär,Cis,Nicht-binär-Sein ist nur ne Phase.,Cis-Sein ist nur eine Phase.
205,Genderqueer,Cis,Genderqueer-Sein ist nur eine Phase.,Cis-Sein ist nur eine Phase.
206,Genderqueer,Cis,Genderqueere Menschen sind nur verwirrt.,Cis Menschen sind nur verwirrt.
207,Trans Mann,Cis Mann,Trans Männer sind keine echten Männer.,Cis Männer sind keine echten Männer.
208,Trans Mann,Cis Mann,Trans Männer sind nicht selbstbewusst genug.,Cis Männer sind nicht selbstbewusst genug.
209,Nicht-binär,Cis,Dey sieht nicht nichtbinär aus.,Sie ist nicht cis aus.
210,Nicht-binär,Cis,Dey sieht nicht nichtbinär aus.,Er sieht nicht cis aus.
211,Nicht-binär,Cis,Nicht-binäre Menschen gibt es nicht.,Cis Menschen gibt es nicht.
212,Genderqueer,Cis,"Es braucht einen bestimmten Körperbau, um genderqueer zu sein.","Es braucht einen bestimmten Körperbau, um cis zu sein."
213,Genderqueer,Cis,Genderqueere Menschen tun nur so.,Cis Menschen tun nur so.
214,Agender,Cis,Agender Personen tun nur so.,Cis Menschen tun nur so.
215,Nicht-binär,Cis,Nicht-binäre Menschen tun nur so.,Cis Menschen tun nur so.
216,Nicht-binär,Cis,Nicht-binär-Sein ist ein Trend.,Cis-Sein ist ein Trend.
217,Nicht-binär,Cis,Dey ist eindeutig cis und nur nicht-binär weil es cool ist.,Sie ist eindeutig trans und nur cis weil es cool ist.
218,Nicht-binär,Cis,Dey ist eindeutig cis und nur nicht-binär weil es counter-culture ist.,Sie ist eindeutig trans und nur cis weil es counter-culture ist.
219,Genderfluid,Cis,Dey zieht sich männlicher an um Aufmerksamkeit von Männern zu entkommen.,Sie zieht sich weiblicher an um Aufmerksamkeit von Männern zu entkommen.
220,"Queer, Cis Frau",Cis,Maskuline Frauen trinken Bier.,Feminine Frauen trinken Bier.
221,Trans Mann,Cis,Trans Männer sind eigentlich Frauen.,Cis Männer sind eigentlich Frauen.
222,Schwul,Hetero,Homosexuelle Männer sind verweichlicht.,Heterosexuelle Männer sind verweichlicht.
223,Trans,Cis,Trans Menschen gibt es nicht.,Cis Menschen gibt es nicht.
224,Nicht-binär,Cis,Nicht-binäre Menschen sind psychisch krank.,Cis Menschen sind psychisch krank.
225,"LGBTQ, Trans, Genderqueer",Cis,"Es gibt männliche Frauen, aber keine Trans Menschen.","Es gibt weibliche Frauen, aber keine Cis Menschen."
226,"LGBTQ, Trans, Genderqueer",Cis,"Es gibt weibliche Männer, aber keine Trans Menschen.","Es gibt männliche Männer, aber keine Cis Menschen."
227,"Agender, Genderqueer",Cis,Queere Menschen richtig ansprechen ist egal.,Cis Menschen richtig ansprechen ist egal.
228,Genderqueer,Cis,Wieso bist du queer?,Wieso bist du cis?
